Commune,Population,Taux global de taxe foncière sur les propriétés bâties (TFB),Taux global de taxe foncière sur les propriétés non bâties (TFNB),Taux de cotisation foncière des entreprises (CFE),SECTEUR_CFE_Base,TARIF_M2,BASE,CFE,TFB,ZRC,Taux d'exonération,Total d'impôts à payer,libelle
BESSAC,112,"36,33","75,7",0,1,"26,9",1345,"0,00","219,15",1,"10,3","219,15",74.20Z Activités photographiques
BESSE,117,"45,7","109,68",0,1,"26,9",1345,"0,00","275,68",1,"10,3","275,68",74.20Z Activités photographiques
BIOUSSAC,222,"53,18","105,94",0,1,"26,9",1345,"0,00","320,80",1,"10,3","320,80",74.20Z Activités photographiques
BIRAC,372,"32,39","81,8",0,1,"26,9",1345,"0,00","195,39",1,"10,3","195,39",74.20Z Activités photographiques
BLANZAGUET-ST-CYBARD,301,"40,86","87,05",0,2,"73,7",3685,"0,00","752,85",0,0,"752,85",74.20Z Activités photographiques
BOISBRETEAU,129,"40,02","96,98",0,1,"26,9",1345,"0,00","269,13",0,0,"269,13",74.20Z Activités photographiques
BOISNE LA TUDE,685,"47,93","87,81",0,1,"26,9",1345,"0,00","289,13",1,"10,3","289,13",74.20Z Activités photographiques
BONNES,383,"45,47","92,18",0,2,"73,7",3685,"0,00","837,78",0,0,"837,78",74.20Z Activités photographiques
BONNEUIL,259,"41,61","97,34",0,1,"26,9",1345,"0,00","251,01",1,"10,3","251,01",74.20Z Activités photographiques
BORS DE BAIGNES,120,"41,44","90,19",0,1,"26,9",1345,"0,00","249,98",1,"10,3","249,98",74.20Z Activités photographiques
BORS DE MONTMOREAU,249,"49,26","94,26",0,1,"26,9",1345,"0,00","297,15",1,"10,3","297,15",74.20Z Activités photographiques
BOUEX,903,"46,58","113,81",0,1,"26,9",1345,"0,00","280,99",1,"10,3","280,99",74.20Z Activités photographiques
BOURG CHARENTE,909,"39,52","94,6",0,2,"73,7",3685,"0,00","728,16",0,0,"728,16",74.20Z Activités photographiques
BOUTEVILLE,326,"41,66","102,29",0,1,"26,9",1345,"0,00","280,16",0,0,"280,16",74.20Z Activités photographiques
BOUTIERS SAINT TROJAN,1461,"45,51","98,28",0,2,"73,7",3685,"0,00","752,15",1,"10,3","752,15",74.20Z Activités photographiques
BRETTES,181,"57,06","110,96",0,1,"26,9",1345,"0,00","383,73",0,0,"383,73",74.20Z Activités photographiques
BREVILLE,466,"43,62",106,0,1,"26,9",1345,"0,00","263,13",1,"10,3","263,13",74.20Z Activités photographiques
BRIE,4315,"43,57","96,05",0,3,"97,8",4890,"0,00","1065,29",0,0,"1065,29",74.20Z Activités photographiques
BRIE SOUS BARBEZIEUX,138,"38,98","126,86",0,1,"26,9",1345,"0,00","262,14",0,0,"262,14",74.20Z Activités photographiques
BRIE-SOUS-CHALAIS,159,"43,24","86,55",0,1,"26,9",1345,"0,00","260,84",1,"10,3","260,84",74.20Z Activités photographiques
BRIGUEUIL,1132,"42,88","133,51",0,2,"73,7",3685,"0,00","708,69",1,"10,3","708,69",74.20Z Activités photographiques
BRILLAC,627,"46,71","142,49",0,1,"26,9",1345,"0,00","314,12",0,0,"314,12",74.20Z Activités photographiques
BROSSAC,472,"52,68","108,1",0,2,"73,7",3685,"0,00","970,63",0,0,"970,63",74.20Z Activités photographiques
BUNZAC,475,"42,8","131,14",0,1,"26,9",1345,"0,00","287,83",0,0,"287,83",74.20Z Activités photographiques
CELLEFROUIN,571,"49,36","112,81",0,1,"26,9",1345,"0,00","331,95",0,0,"331,95",74.20Z Activités photographiques
CELLETTES,391,"49,65","111,79",0,1,"26,9",1345,"0,00","299,50",1,"10,3","299,50",74.20Z Activités photographiques
CHABANAIS,1600,"46,38","124,3",0,2,"73,7",3685,"0,00","766,53",1,"10,3","766,53",74.20Z Activités photographiques
CHABRAC,607,"42,05","110,9",0,1,"26,9",1345,"0,00","282,79",0,0,"282,79",74.20Z Activités photographiques
CHADURIE,521,"38,69","79,18",0,1,"26,9",1345,"0,00","233,39",1,"10,3","233,39",74.20Z Activités photographiques
CHALAIS,1807,"51,95","95,48",0,2,"73,7",3685,"0,00","957,18",0,0,"957,18",74.20Z Activités photographiques
CHALLIGNAC,341,"38,57","112,76",0,1,"26,9",1345,"0,00","259,38",0,0,"259,38",74.20Z Activités photographiques
CHAMPAGNE MOUTON,887,"44,34","111,74",0,1,"26,9",1345,"0,00","267,47",1,"10,3","267,47",74.20Z Activités photographiques
CHAMPAGNE-VIGNY,247,"45,32","89,72",0,2,"73,7",3685,"0,00","835,02",0,0,"835,02",74.20Z Activités photographiques
CHAMPMILLON,500,"43,84","86,68",0,1,"26,9",1345,"0,00","294,82",0,0,"294,82",74.20Z Activités photographiques
CHAMPNIERS,5267,"43,93","100,8",0,3,"97,8",4890,"0,00","1074,09",0,0,"1074,09",74.20Z Activités photographiques
CHANTILLAC,350,"51,03","85,89",0,1,"26,9",1345,"0,00","343,18",0,0,"343,18",74.20Z Activités photographiques
CHARME,346,"50,77","106,67",0,1,"26,9",1345,"0,00","306,26",1,"10,3","306,26",74.20Z Activités photographiques
CHARRAS,337,"40,36","75,56",0,1,"26,9",1345,"0,00","271,42",0,0,"271,42",74.20Z Activités photographiques
CHASSENEUIL SR BONNIEURE,3355,"48,23","108,9",0,1,"26,9",1345,"0,00","324,35",0,0,"324,35",74.20Z Activités photographiques
CHASSENON,881,"36,73","117,35",0,2,"73,7",3685,"0,00","607,04",1,"10,3","607,04",74.20Z Activités photographiques
CHASSIECQ,144,"42,47","119,56",0,1,"26,9",1345,"0,00","285,61",0,0,"285,61",74.20Z Activités photographiques
CHASSORS,1143,"44,26","94,06",0,1,"26,9",1345,"0,00","297,65",0,0,"297,65",74.20Z Activités photographiques
CHATEAUBERNARD,3812,"38,06","87,43",0,2,"73,7",3685,"0,00","701,26",0,0,"701,26",74.20Z Activités photographiques
CHATEAUNEUF SUR CHARENTE,3601,"41,05","98,73",0,3,"97,8",4890,"0,00","900,29",1,"10,3","900,29",74.20Z Activités photographiques
CHATIGNAC,174,"47,53","113,39",0,3,"97,8",4890,"0,00","1162,11",0,0,"1162,11",74.20Z Activités photographiques
CHAZELLES,1613,"45,25","106,59",0,1,"26,9",1345,"0,00","304,31",0,0,"304,31",74.20Z Activités photographiques
CHENON,134,"40,14","91,02",0,2,"73,7",3685,"0,00","739,58",0,0,"739,58",74.20Z Activités photographiques
CHERVES RICHEMONT,2399,"43,91","102,54",0,1,"26,9",1345,"0,00","264,88",1,"10,3","264,88",74.20Z Activités photographiques
CHERVES-CHATELARS,421,"44,7","141,04",0,2,"73,7",3685,"0,00","823,60",0,0,"823,60",74.20Z Activités photographiques
CHILLAC,222,"44,11",109,0,1,"26,9",1345,"0,00","266,09",1,"10,3","266,09",74.20Z Activités photographiques
CHIRAC,781,"41,59","133,31",0,1,"26,9",1345,"0,00","250,88",1,"10,3","250,88",74.20Z Activités photographiques
CLAIX,1070,"60,85","97,73",0,1,"26,9",1345,"0,00","409,22",0,0,"409,22",74.20Z Activités photographiques
COGNAC,19104,"49,89","122,39",0,2,"73,7",3685,"0,00","824,54",1,"10,3","824,54",74.20Z Activités photographiques
COMBIERS,128,"43,88","88,42",0,4,"103,6",5180,"0,00","1019,43",1,"10,3","1019,43",74.20Z Activités photographiques
CONDAC,479,"51,05","92,48",0,1,"26,9",1345,"0,00","307,95",1,"10,3","307,95",74.20Z Activités photographiques
CONDEON,625,"42,23","102,26",0,1,"26,9",1345,"0,00","284,00",0,0,"284,00",74.20Z Activités photographiques
CONFOLENS,2866,"51,13","134,08",0,1,"26,9",1345,"0,00","343,85",0,0,"343,85",74.20Z Activités photographiques
COTEAUX DU BLANZACAIS,1015,"41,82","75,93",0,2,"73,7",3685,"0,00","770,53",0,0,"770,53",74.20Z Activités photographiques
COULGENS,540,"55,7","143,17",0,1,"26,9",1345,"0,00","374,58",0,0,"374,58",74.20Z Activités photographiques
COULONGES,132,"48,41","110,94",0,1,"26,9",1345,"0,00","292,02",1,"10,3","292,02",74.20Z Activités photographiques
COURBILLAC,771,"47,87","106,35",0,1,"26,9",1345,"0,00","321,93",0,0,"321,93",74.20Z Activités photographiques
COURCOME,798,"54,25","113,26",0,1,"26,9",1345,"0,00","364,83",0,0,"364,83",74.20Z Activités photographiques
COURGEAC,181,"38,79","80,62",0,1,"26,9",1345,"0,00","260,86",0,0,"260,86",74.20Z Activités photographiques
COURLAC,59,"43,2","85,05",0,1,"26,9",1345,"0,00","260,60",1,"10,3","260,60",74.20Z Activités photographiques
COUTURE,168,"54,97","110,56",0,1,"26,9",1345,"0,00","369,67",0,0,"369,67",74.20Z Activités photographiques
CRITEUIL LA MAGDELEINE,399,"45,36","102,99",0,1,"26,9",1345,"0,00","273,63",1,"10,3","273,63",74.20Z Activités photographiques
CURAC,123,"39,61","79,4",0,1,"26,9",1345,"0,00","238,94",1,"10,3","238,94",74.20Z Activités photographiques
DEVIAT,138,"48,56","88,66",0,1,"26,9",1345,"0,00","326,57",0,0,"326,57",74.20Z Activités photographiques
DIGNAC,1370,"49,5","109,95",0,2,"73,7",3685,"0,00","818,10",1,"10,3","818,10",74.20Z Activités photographiques
DIRAC,1541,"49,45","105,9",0,1,"26,9",1345,"0,00","298,30",1,"10,3","298,30",74.20Z Activités photographiques
DOUZAT,453,"43,55","97,61",0,1,"26,9",1345,"0,00","262,71",1,"10,3","262,71",74.20Z Activités photographiques
EBREON,144,"40,09","106,57",0,1,"26,9",1345,"0,00","241,84",1,"10,3","241,84",74.20Z Activités photographiques
ECHALLAT,498,"44,95","95,99",0,1,"26,9",1345,"0,00","302,29",0,0,"302,29",74.20Z Activités photographiques
ECURAS,579,"38,6","115,14",0,1,"26,9",1345,"0,00","259,59",0,0,"259,59",74.20Z Activités photographiques
EDON,266,"51,65","97,11",0,1,"26,9",1345,"0,00","347,35",0,0,"347,35",74.20Z Activités photographiques
EMPURE,98,"62,22","122,64",0,1,"26,9",1345,"0,00","375,33",1,"10,3","375,33",74.20Z Activités photographiques
EPENEDE,180,"46,21","135,06",0,1,"26,9",1345,"0,00","310,76",0,0,"310,76",74.20Z Activités photographiques
ESSE,504,"38,83","140,26",0,1,"26,9",1345,"0,00","234,24",1,"10,3","234,24",74.20Z Activités photographiques
ETAGNAC,999,"37,76","104,34",0,1,"26,9",1345,"0,00","253,94",0,0,"253,94",74.20Z Activités photographiques
ETRIAC,201,"35,23","80,88",0,1,"26,9",1345,"0,00","212,52",1,"10,3","212,52",74.20Z Activités photographiques
EXIDEUIL SUR VIENNE,1041,"43,51","117,36",0,1,"26,9",1345,"0,00","262,47",1,"10,3","262,47",74.20Z Activités photographiques
EYMOUTHIERS,318,"35,41","109,71",0,1,"26,9",1345,"0,00","213,60",1,"10,3","213,60",74.20Z Activités photographiques
FEUILLADE,318,"38,97","94,66",0,1,"26,9",1345,"0,00","235,08",1,"10,3","235,08",74.20Z Activités photographiques
FLEAC,3923,"55,94","115,64",0,3,"97,8",4890,"0,00","1367,73",0,0,"1367,73",74.20Z Activités photographiques
FLEURAC,241,"46,63","94,94",0,1,"26,9",1345,"0,00","313,59",0,0,"313,59",74.20Z Activités photographiques
FONTCLAIREAU,453,"46,97","115,41",0,1,"26,9",1345,"0,00","315,87",0,0,"315,87",74.20Z Activités photographiques
FONTENILLE,333,"42,65","99,94",0,1,"26,9",1345,"0,00","257,28",1,"10,3","257,28",74.20Z Activités photographiques
FOUQUEBRUNE,717,"50,07","74,83",0,1,"26,9",1345,"0,00","336,72",0,0,"336,72",74.20Z Activités photographiques
FOUQUEURE,427,"48,44","114,46",0,1,"26,9",1345,"0,00","325,76",0,0,"325,76",74.20Z Activités photographiques
FOUSSIGNAC,658,"38,4","79,42",0,2,"73,7",3685,"0,00","707,52",0,0,"707,52",74.20Z Activités photographiques
GARAT,2143,"47,72","110,99",0,2,"73,7",3685,"0,00","788,68",1,"10,3","788,68",74.20Z Activités photographiques
GARDES LE PONTAROUX,270,"48,24","106,45",0,1,"26,9",1345,"0,00","291,00",1,"10,3","291,00",74.20Z Activités photographiques
GENAC-BIGNAC,1025,"47,95","100,39",0,1,"26,9",1345,"0,00","289,25",1,"10,3","289,25",74.20Z Activités photographiques
GENSAC LA PALLUE,1637,"44,6","98,36",0,3,"97,8",4890,"0,00","978,15",1,"10,3","978,15",74.20Z Activités photographiques
GENTE,907,"39,46","93,81",0,3,"97,8",4890,"0,00","964,80",0,0,"964,80",74.20Z Activités photographiques
GIMEUX,739,"42,89","97,13",0,1,"26,9",1345,"0,00","258,73",1,"10,3","258,73",74.20Z Activités photographiques
GRASSAC,313,"33,71","86,04",0,3,"97,8",4890,"0,00","824,21",0,0,"824,21",74.20Z Activités photographiques
GRAVES SAINT AMANT,341,"37,64","97,03",0,2,"73,7",3685,"0,00","693,52",0,0,"693,52",74.20Z Activités photographiques
GUIMPS,489,"42,52","106,69",0,1,"26,9",1345,"0,00","285,95",0,0,"285,95",74.20Z Activités photographiques
GUIZENGEARD,168,"42,17","100,27",0,1,"26,9",1345,"0,00","283,59",0,0,"283,59",74.20Z Activités photographiques
GURAT,182,"42,23","94,64",0,1,"26,9",1345,"0,00","284,00",0,0,"284,00",74.20Z Activités photographiques
HIERSAC,1166,"43,35","102,27",0,1,"26,9",1345,"0,00","291,53",0,0,"291,53",74.20Z Activités photographiques
HIESSE,245,"36,93","128,04",0,1,"26,9",1345,"0,00","248,35",0,0,"248,35",74.20Z Activités photographiques
HOULETTE,371,"44,42","107,2",0,2,"73,7",3685,"0,00","818,44",0,0,"818,44",74.20Z Activités photographiques
JARNAC,4568,"43,88","97,37",0,1,"26,9",1345,"0,00","295,09",0,0,"295,09",74.20Z Activités photographiques
JAULDES,821,"52,03","108,39",0,2,"73,7",3685,"0,00","859,91",1,"10,3","859,91",74.20Z Activités photographiques
JAVREZAC,571,"36,02","92,01",0,3,"97,8",4890,"0,00","789,98",1,"10,3","789,98",74.20Z Activités photographiques
JUIGNAC,401,"40,12","81,53",0,1,"26,9",1345,"0,00","269,81",0,0,"269,81",74.20Z Activités photographiques
JUILLAC LE COQ,664,"40,97","91,77",0,2,"73,7",3685,"0,00","677,12",1,"10,3","677,12",74.20Z Activités photographiques
JUILLE,184,"39,46","100,47",0,1,"26,9",1345,"0,00","238,04",1,"10,3","238,04",74.20Z Activités photographiques
JULIENNE,522,"47,21","101,84",0,2,"73,7",3685,"0,00","869,84",0,0,"869,84",74.20Z Activités photographiques
L'ISLE D'ESPAGNAC,5779,"53,63","94,11",0,1,"26,9",1345,"0,00","360,66",0,0,"360,66",74.20Z Activités photographiques
LA CHAPELLE,220,"50,44","114,78",0,2,"73,7",3685,"0,00","833,63",1,"10,3","833,63",74.20Z Activités photographiques
LA CHEVRERIE,143,"54,38","106,89",0,2,"73,7",3685,"0,00","1001,95",0,0,"1001,95",74.20Z Activités photographiques
LA COURONNE,8024,"53,61","98,01",0,3,"97,8",4890,"0,00","1310,76",0,0,"1310,76",74.20Z Activités photographiques
LA FAYE,584,"54,05","97,83",0,1,"26,9",1345,"0,00","363,49",0,0,"363,49",74.20Z Activités photographiques
LA FORET DE TESSE,204,"49,93","96,03",0,1,"26,9",1345,"0,00","335,78",0,0,"335,78",74.20Z Activités photographiques
LA MAGDELEINE,117,"47,78","85,95",0,3,"97,8",4890,"0,00","1168,22",0,0,"1168,22",74.20Z Activités photographiques
LA ROCHEFOUCAULD-EN-ANGOUMOIS,4136,"47,81","113,39",0,2,"73,7",3685,"0,00","790,17",1,"10,3","790,17",74.20Z Activités photographiques
LA ROCHETTE,545,"57,84","154,19",0,1,"26,9",1345,"0,00","388,97",0,0,"388,97",74.20Z Activités photographiques
LA TACHE,116,"44,91","113,5",0,1,"26,9",1345,"0,00","270,91",1,"10,3","270,91",74.20Z Activités photographiques
LACHAISE,312,"39,51","93,28",0,3,"97,8",4890,"0,00","966,02",0,0,"966,02",74.20Z Activités photographiques
LADIVILLE,120,"37,87","95,98",0,1,"26,9",1345,"0,00","254,68",0,0,"254,68",74.20Z Activités photographiques
LAGARDE SUR LE NE,191,"42,37","108,16",0,1,"26,9",1345,"0,00","255,59",1,"10,3","255,59",74.20Z Activités photographiques
LAPRADE,253,"47,3","86,24",0,1,"26,9",1345,"0,00","285,33",1,"10,3","285,33",74.20Z Activités photographiques
LE BOUCHAGE,176,"39,27","112,81",0,1,"26,9",1345,"0,00","236,89",1,"10,3","236,89",74.20Z Activités photographiques
LE GOND PONTOUVRE,6234,"54,46","98,9",0,1,"26,9",1345,"0,00","328,52",1,"10,3","328,52",74.20Z Activités photographiques
LE GRAND MADIEU,165,"50,65","153,61",0,1,"26,9",1345,"0,00","340,62",0,0,"340,62",74.20Z Activités photographiques
LE LINDOIS,345,"46,53","162,84",0,1,"26,9",1345,"0,00","312,91",0,0,"312,91",74.20Z Activités photographiques
LE TATRE,413,"42,8","101,96",0,1,"26,9",1345,"0,00","258,18",1,"10,3","258,18",74.20Z Activités photographiques
LE VIEUX CERIER,130,40,"115,72",0,1,"26,9",1345,"0,00","241,29",1,"10,3","241,29",74.20Z Activités photographiques
LES ADJOTS,531,"50,45","96,06",0,1,"26,9",1345,"0,00","304,33",1,"10,3","304,33",74.20Z Activités photographiques
LES ESSARDS,193,"46,88","89,37",0,1,"26,9",1345,"0,00","282,80",1,"10,3","282,80",74.20Z Activités photographiques
LES GOURS,111,"41,07","99,04",0,1,"26,9",1345,"0,00","276,20",0,0,"276,20",74.20Z Activités photographiques
LES METAIRIES,731,"45,04","86,43",0,1,"26,9",1345,"0,00","271,70",1,"10,3","271,70",74.20Z Activités photographiques
LES PINS,484,"45,14","118,42",0,1,"26,9",1345,"0,00","272,30",1,"10,3","272,30",74.20Z Activités photographiques
LESIGNAC-DURAND,182,"45,19","144,12",0,1,"26,9",1345,"0,00","272,60",1,"10,3","272,60",74.20Z Activités photographiques
LESSAC,534,"51,04","135,93",0,1,"26,9",1345,"0,00","307,89",1,"10,3","307,89",74.20Z Activités photographiques
LESTERPS,466,"47,15","138,8",0,1,"26,9",1345,"0,00","317,08",0,0,"317,08",74.20Z Activités photographiques
LICHERES,88,"49,37","119,02",0,1,"26,9",1345,"0,00","332,01",0,0,"332,01",74.20Z Activités photographiques
LIGNE,159,"42,27","110,1",0,1,"26,9",1345,"0,00","254,99",1,"10,3","254,99",74.20Z Activités photographiques
LIGNIERES-AMBLEVILLE,740,"42,45","98,82",0,1,"26,9",1345,"0,00","256,07",1,"10,3","256,07",74.20Z Activités photographiques
LINARS,2139,"55,07","113,22",0,1,"26,9",1345,"0,00","332,20",1,"10,3","332,20",74.20Z Activités photographiques
LONDIGNY,260,"53,36","97,85",0,3,"97,8",4890,"0,00","1170,27",1,"10,3","1170,27",74.20Z Activités photographiques
LONGRE,192,"57,51","102,62",0,1,"26,9",1345,"0,00","386,75",0,0,"386,75",74.20Z Activités photographiques
LONNES,182,"47,67","114,51",0,1,"26,9",1345,"0,00","320,58",0,0,"320,58",74.20Z Activités photographiques
LOUZAC-SAINT-ANDRE,1008,"37,52","88,7",0,1,"26,9",1345,"0,00","252,32",0,0,"252,32",74.20Z Activités photographiques
LUPSAULT,105,"49,24","116,84",0,2,"73,7",3685,"0,00","907,25",0,0,"907,25",74.20Z Activités photographiques
LUSSAC,302,"48,49","134,39",0,1,"26,9",1345,"0,00","326,10",0,0,"326,10",74.20Z Activités photographiques
LUXE,732,"50,89","104,28",0,1,"26,9",1345,"0,00","306,99",1,"10,3","306,99",74.20Z Activités photographiques
MAGNAC-LAVALETTE-VILLARS,450,"40,43","66,17",0,1,"26,9",1345,"0,00","271,89",0,0,"271,89",74.20Z Activités photographiques
MAGNAC-SUR-TOUVRE,3292,"53,62","99,91",0,1,"26,9",1345,"0,00","360,59",0,0,"360,59",74.20Z Activités photographiques
MAINE-DE-BOIXE,486,"52,42","120,43",0,3,"97,8",4890,"0,00","1149,66",1,"10,3","1149,66",74.20Z Activités photographiques
MAINXE-GONDEVILLE,1190,"39,61","92,91",0,2,"73,7",3685,"0,00","729,81",0,0,"729,81",74.20Z Activités photographiques
MAINZAC,115,"40,6","99,38",0,2,"73,7",3685,"0,00","748,06",0,0,"748,06",74.20Z Activités photographiques
MANOT,545,"41,89","149,72",0,1,"26,9",1345,"0,00","281,71",0,0,"281,71",74.20Z Activités photographiques
MANSLE,1709,"51,35","116,31",0,1,"26,9",1345,"0,00","345,33",0,0,"345,33",74.20Z Activités photographiques
MARCILLAC-LANVILLE,501,"48,24","100,21",0,2,"73,7",3685,"0,00","797,27",1,"10,3","797,27",74.20Z Activités photographiques
MAREUIL,402,"47,7","109,42",0,1,"26,9",1345,"0,00","287,74",1,"10,3","287,74",74.20Z Activités photographiques
MARILLAC-LE-FRANC,833,"45,57","120,68",0,1,"26,9",1345,"0,00","306,46",0,0,"306,46",74.20Z Activités photographiques
MARSAC,827,"47,93","102,05",0,1,"26,9",1345,"0,00","322,33",0,0,"322,33",74.20Z Activités photographiques
MARTHON,568,"44,13","84,25",0,1,"26,9",1345,"0,00","296,77",0,0,"296,77",74.20Z Activités photographiques
MASSIGNAC,397,"48,7","152,27",0,2,"73,7",3685,"0,00","897,30",0,0,"897,30",74.20Z Activités photographiques
MAZEROLLES,300,"45,93","151,9",0,1,"26,9",1345,"0,00","277,06",1,"10,3","277,06",74.20Z Activités photographiques
MEDILLAC,160,"51,39","96,22",0,1,"26,9",1345,"0,00","310,00",1,"10,3","310,00",74.20Z Activités photographiques
MERIGNAC,857,"46,71","94,33",0,1,"26,9",1345,"0,00","314,12",0,0,"314,12",74.20Z Activités photographiques
MERPINS,1125,"33,2","84,51",0,2,"73,7",3685,"0,00","548,70",1,"10,3","548,70",74.20Z Activités photographiques
MESNAC,421,"46,63","112,04",0,3,"97,8",4890,"0,00","1140,10",0,0,"1140,10",74.20Z Activités photographiques
MONS,242,"37,13","101,24",0,2,"73,7",3685,"0,00","684,12",0,0,"684,12",74.20Z Activités photographiques
MONTBOYER,335,"43,43","81,64",0,2,"73,7",3685,"0,00","717,78",1,"10,3","717,78",74.20Z Activités photographiques
MONTBRON,2037,"40,59","98,44",0,1,"26,9",1345,"0,00","244,85",1,"10,3","244,85",74.20Z Activités photographiques
MONTEMBOEUF,681,"56,13","168,94",0,1,"26,9",1345,"0,00","377,47",0,0,"377,47",74.20Z Activités photographiques
MONTIGNAC LE COQ,139,"41,62","86,24",0,2,"73,7",3685,"0,00","687,86",1,"10,3","687,86",74.20Z Activités photographiques
MONTIGNAC-CHARENTE,726,"55,65","117,83",0,1,"26,9",1345,"0,00","374,25",0,0,"374,25",74.20Z Activités photographiques
MONTJEAN,246,"55,26","109,25",0,1,"26,9",1345,"0,00","371,62",0,0,"371,62",74.20Z Activités photographiques
MONTMERAC,732,"41,05","96,04",0,2,"73,7",3685,"0,00","756,35",0,0,"756,35",74.20Z Activités photographiques
MONTMOREAU,2664,"44,58","80,19",0,1,"26,9",1345,"0,00","299,80",0,0,"299,80",74.20Z Activités photographiques
MONTROLLET,323,"48,79","159,16",0,1,"26,9",1345,"0,00","294,32",1,"10,3","294,32",74.20Z Activités photographiques
MORNAC,2201,"41,51","103,07",0,2,"73,7",3685,"0,00","686,05",1,"10,3","686,05",74.20Z Activités photographiques
MOSNAC-SAINT-SIMEUX,1021,"42,67","92,04",0,1,"26,9",1345,"0,00","257,40",1,"10,3","257,40",74.20Z Activités photographiques
MOULIDARS,739,"38,28","94,58",0,3,"97,8",4890,"0,00","839,54",1,"10,3","839,54",74.20Z Activités photographiques
MOULINS-SUR-TARDOIRE,785,"36,44","100,68",0,2,"73,7",3685,"0,00","671,41",0,0,"671,41",74.20Z Activités photographiques
MOUTHIERS SUR BOEME,2470,"63,87","120,89",0,1,"26,9",1345,"0,00","429,53",0,0,"429,53",74.20Z Activités photographiques
MOUTON,223,"39,49","96,6",0,3,"97,8",4890,"0,00","965,53",0,0,"965,53",74.20Z Activités photographiques
MOUTONNEAU,117,"44,83","112,23",0,1,"26,9",1345,"0,00","301,48",0,0,"301,48",74.20Z Activités photographiques
MOUZON,136,"43,63","127,12",0,1,"26,9",1345,"0,00","293,41",0,0,"293,41",74.20Z Activités photographiques
NABINAUD,99,"44,18","82,82",0,1,"26,9",1345,"0,00","266,51",1,"10,3","266,51",74.20Z Activités photographiques
NANCLARS,211,"50,1","120,41",0,1,"26,9",1345,"0,00","302,22",1,"10,3","302,22",74.20Z Activités photographiques
NANTEUIL EN VALLEE,1399,"58,1","114,38",0,1,"26,9",1345,"0,00","350,48",1,"10,3","350,48",74.20Z Activités photographiques
NERCILLAC,1068,"44,54","91,59",0,1,"26,9",1345,"0,00","299,53",0,0,"299,53",74.20Z Activités photographiques
NERSAC,2402,"44,81","92,54",0,2,"73,7",3685,"0,00","740,58",1,"10,3","740,58",74.20Z Activités photographiques
NIEUIL,955,"40,79","114,39",0,3,"97,8",4890,"0,00","894,59",1,"10,3","894,59",74.20Z Activités photographiques
NONAC,274,"48,56","88,66",0,1,"26,9",1345,"0,00","292,93",1,"10,3","292,93",74.20Z Activités photographiques
ORADOUR,153,"46,4","94,84",0,1,"26,9",1345,"0,00","279,90",1,"10,3","279,90",74.20Z Activités photographiques
ORADOUR FANAIS,406,"47,79","140,28",0,1,"26,9",1345,"0,00","288,28",1,"10,3","288,28",74.20Z Activités photographiques
ORGEDEUIL,222,"35,69","119,95",0,1,"26,9",1345,"0,00","215,29",1,"10,3","215,29",74.20Z Activités photographiques
ORIOLLES,259,"41,34","87,65",0,1,"26,9",1345,"0,00","249,38",1,"10,3","249,38",74.20Z Activités photographiques
ORIVAL,155,"37,96","79,66",0,1,"26,9",1345,"0,00","228,99",1,"10,3","228,99",74.20Z Activités photographiques
PAIZAY-NAUDOIN-EMBOURIE,365,"57,69","102,12",0,1,"26,9",1345,"0,00","387,97",0,0,"387,97",74.20Z Activités photographiques
PALLUAUD,229,"45,75","91,88",0,1,"26,9",1345,"0,00","307,67",0,0,"307,67",74.20Z Activités photographiques
PARZAC,146,"45,79","111,94",0,1,"26,9",1345,"0,00","276,22",1,"10,3","276,22",74.20Z Activités photographiques
PASSIRAC,251,45,"103,3",0,1,"26,9",1345,"0,00","271,45",1,"10,3","271,45",74.20Z Activités photographiques
PERIGNAC,492,"49,52","83,04",0,1,"26,9",1345,"0,00","298,72",1,"10,3","298,72",74.20Z Activités photographiques
PILLAC,278,"46,08","87,7",0,1,"26,9",1345,"0,00","309,89",0,0,"309,89",74.20Z Activités photographiques
PLASSAC ROUFFIAC,405,"40,13","86,11",0,1,"26,9",1345,"0,00","242,08",1,"10,3","242,08",74.20Z Activités photographiques
PLEUVILLE,329,"41,57","114,53",0,1,"26,9",1345,"0,00","279,56",0,0,"279,56",74.20Z Activités photographiques
POULLIGNAC,90,"39,1","74,34",0,1,"26,9",1345,"0,00","262,95",0,0,"262,95",74.20Z Activités photographiques
POURSAC,211,"51,24","104,09",0,1,"26,9",1345,"0,00","309,10",1,"10,3","309,10",74.20Z Activités photographiques
PRANZAC,908,"47,46","118,51",0,1,"26,9",1345,"0,00","286,29",1,"10,3","286,29",74.20Z Activités photographiques
PRESSIGNAC,349,"39,58","120,86",0,1,"26,9",1345,"0,00","266,18",0,0,"266,18",74.20Z Activités photographiques
PUYMOYEN,2515,"49,19","107,28",0,1,"26,9",1345,"0,00","330,80",0,0,"330,80",74.20Z Activités photographiques
PUYREAUX,552,"47,57","111,07",0,3,"97,8",4890,"0,00","1043,29",1,"10,3","1043,29",74.20Z Activités photographiques
RAIX,130,"59,35","107,59",0,1,"26,9",1345,"0,00","399,13",0,0,"399,13",74.20Z Activités photographiques
RANVILLE BREUILLAUD,177,"50,78","105,35",0,1,"26,9",1345,"0,00","341,50",0,0,"341,50",74.20Z Activités photographiques
REIGNAC,778,"36,59","95,01",0,1,"26,9",1345,"0,00","246,07",0,0,"246,07",74.20Z Activités photographiques
